CDRDATE,SERVICE_KEY,IS_ROAMING,ISBFT,DIAMETER,TOTAL,REMARK
2023-11-06 12,100,1,0,5031,10,day0
2023-11-06 12,100,0,0,,3316,day0
2023-11-06 12,100,1,0,,1,day0
2023-11-06 12,133,0,0,,222,day0
2023-11-06 12,150,0,0,4010,12,day0
2023-11-06 12,150,0,0,5030,130,day0
2023-11-06 12,150,0,0,5031,1,day0
2023-11-06 12,150,0,0,,6,day0
2023-11-06 12,150,1,0,,1,day0
2023-11-06 12,200,0,0,2001,604,day0
2023-11-06 12,200,0,0,4012,2,day0
2023-11-06 12,200,0,0,5031,1,day0
2023-11-06 12,200,0,0,,1,day0
2023-11-06 12,300,1,0,2001,286,day0
2023-11-06 12,300,1,0,4012,7871,day0
2023-11-06 12,300,0,0,5004,8303,day0
2023-11-06 12,300,1,0,5031,64,day0
2023-11-06 12,400,1,0,4012,1,day0
2023-11-06 13,100,0,0,2001,111998,day0
2023-11-06 13,100,1,0,2001,6,day0
2023-11-06 13,100,0,0,4010,1263,day0
2023-11-06 13,100,0,0,4012,50263,day0
2023-11-06 13,100,1,0,4012,47,day0
2023-11-06 13,100,0,1,5005,1,day0
2023-11-06 13,100,1,0,5030,2,day0
2023-11-06 13,100,0,0,5031,4435,day0
2023-11-06 13,100,1,0,5031,27,day0
2023-11-06 13,100,0,0,,3128,day0
2023-11-06 13,100,1,0,,2,day0
2023-11-06 13,133,0,0,,195,day0
2023-11-06 13,150,0,0,4010,11,day0
2023-11-06 13,150,0,0,4012,2,day0
2023-11-06 13,150,0,0,5030,134,day0
2023-11-06 13,150,1,0,5030,5,day0
2023-11-06 13,150,0,0,5031,2,day0
2023-11-06 13,150,0,0,,17,day0
2023-11-06 13,200,0,0,2001,1661,day0
2023-11-06 13,200,0,0,4012,2,day0
2023-11-06 13,200,0,0,5031,12,day0
2023-11-06 13,300,1,0,2001,159,day0
2023-11-06 13,300,1,0,4012,13890,day0
2023-11-06 13,300,0,0,5004,17917,day0
2023-11-06 13,300,1,0,5031,37,day0
2023-11-06 13,400,1,0,2001,6,day0
2023-11-06 13,400,1,0,4012,1,day0
2023-11-06 13,400,0,0,5004,65,day0
2023-11-06 13,400,1,0,5031,1,day0
2023-11-06 14,100,0,0,2001,112832,day0
2023-11-06 14,100,1,0,2001,15,day0
2023-11-06 14,100,0,0,4010,1253,day0
2023-11-06 14,100,1,0,4010,3,day0
2023-11-06 14,100,0,0,4012,50862,day0
2023-11-06 14,100,1,0,4012,45,day0
2023-11-06 14,100,0,0,5030,1,day0
2023-11-06 14,100,0,0,5031,4715,day0
2023-11-06 14,100,1,0,5031,28,day0
2023-11-06 14,100,0,0,,2950,day0
2023-11-06 14,133,0,0,,220,day0
2023-11-06 14,150,0,0,4010,10,day0
2023-11-06 14,150,0,0,5030,133,day0
2023-11-06 14,150,1,0,5030,10,day0
2023-11-06 14,150,0,0,5031,3,day0
2023-11-06 14,150,0,0,,5,day0
2023-11-06 14,200,0,0,2001,2081,day0
2023-11-06 14,200,0,0,4010,1,day0
2023-11-06 14,200,0,0,4012,3,day0
2023-11-06 14,200,0,0,5031,17,day0
2023-11-06 14,300,1,0,2001,204,day0
2023-11-06 14,300,1,0,4012,15287,day0
2023-11-06 14,300,0,0,5004,22274,day0
2023-11-06 14,300,1,0,5031,21,day0
2023-11-06 14,400,1,0,2001,12,day0
2023-11-06 14,400,0,0,5004,3,day0
2023-11-06 15,100,0,0,2001,114866,day0
2023-11-06 15,100,1,0,2001,3,day0
2023-11-06 15,100,0,0,4010,1414,day0
2023-11-06 15,100,0,0,4012,53040,day0
2023-11-06 15,100,1,0,4012,58,day0
2023-11-06 15,100,0,0,5031,4942,day0
2023-11-06 15,100,1,0,5031,32,day0
2023-11-06 15,100,0,0,,2756,day0
2023-11-06 15,133,0,0,,184,day0
2023-11-06 15,150,0,0,4010,13,day0
2023-11-06 15,150,0,0,5030,139,day0
2023-11-06 15,150,0,0,5031,6,day0
2023-11-06 15,150,0,0,,15,day0
2023-11-06 15,200,0,0,2001,1841,day0
2023-11-06 15,200,0,0,4010,2,day0
2023-11-06 15,200,0,0,4012,5,day0
2023-11-06 15,200,0,0,5031,18,day0
2023-11-06 15,300,1,0,2001,179,day0
2023-11-06 15,300,1,0,4010,1,day0
2023-11-06 15,300,1,0,4012,12191,day0
2023-11-06 15,300,0,0,5004,10241,day0
2023-11-06 15,300,1,0,5031,49,day0
2023-11-06 15,400,1,0,2001,7,day0
2023-11-06 15,400,0,0,5004,5,day0
2023-11-06 16,100,0,0,2001,122784,day0
2023-11-06 16,100,1,0,2001,6,day0
2023-11-06 16,100,0,0,4010,1479,day0
2023-11-06 16,100,1,0,4010,1,day0
2023-11-06 16,100,0,0,4012,53902,day0
2023-11-06 16,100,1,0,4012,45,day0
2023-11-06 16,100,0,0,5030,1,day0
2023-11-06 16,100,0,0,5031,4459,day0
2023-11-06 16,100,1,0,5031,17,day0
2023-11-06 16,100,0,0,,2920,day0
2023-11-06 16,100,1,0,,4,day0
2023-11-06 16,133,0,0,,191,day0
2023-11-06 16,150,0,0,4010,13,day0
2023-11-06 16,150,0,0,5030,99,day0
2023-11-06 16,150,0,0,5031,2,day0
2023-11-06 16,150,0,0,,7,day0
2023-11-06 16,200,0,0,2001,1263,day0
2023-11-06 16,200,0,0,4012,1,day0
2023-11-06 16,200,0,0,5031,11,day0
2023-11-06 16,300,1,0,2001,172,day0
2023-11-06 16,300,1,0,4010,1,day0
2023-11-06 16,300,1,0,4012,10936,day0
2023-11-06 16,300,0,0,5004,15300,day0
2023-11-06 16,300,1,0,5031,37,day0
2023-11-06 16,400,0,0,5004,3,day0
2023-11-06 17,100,0,0,2001,120092,day0
2023-11-06 17,100,1,0,2001,5,day0
2023-11-06 17,100,0,0,4010,1492,day0
2023-11-06 17,100,0,0,4012,56286,day0
2023-11-06 17,100,1,0,4012,58,day0
2023-11-06 17,100,0,0,5030,6,day0
2023-11-06 17,100,0,0,5031,4972,day0
2023-11-06 17,100,1,0,5031,10,day0
2023-11-06 17,100,0,0,,3252,day0
2023-11-06 17,100,1,0,,13,day0
2023-11-06 17,133,0,0,,228,day0
2023-11-06 17,150,0,0,4010,17,day0
2023-11-06 17,150,0,0,5030,119,day0
2023-11-06 17,150,0,0,5031,2,day0
2023-11-06 17,150,0,0,,15,day0
2023-11-06 17,200,0,0,2001,643,day0
2023-11-06 17,200,0,0,4012,4,day0
2023-11-06 17,300,1,0,2001,171,day0
