CDRDATE,CP_NAME,CPID,ACCESSFLAG,BASICCAUSE,INTERNALCAUSE,REVENUE,TOTAL,REMARK
2023-11-06 01,PT. Gloria Viva Nusantara,250,72,123,2001,0,12,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,72,372,,0,1,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,72,987,2001,0,1,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,111,4012,0,66,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,23,,24732660,14684,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,6,,30721,18,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,940,5030,0,2,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,940,5031,0,25,day0
2023-11-06 01,PT. Gloria Viva Nusantara,250,73,941,2001,4954,4476,day0
2023-11-06 01,SahabatMudaKreatif,252,66,938,2001,0,1,day0
2023-11-06 01,SahabatMudaKreatif,252,73,111,4012,0,56859,day0
2023-11-06 01,SahabatMudaKreatif,252,73,23,,366670,185,day0
2023-11-06 01,SahabatMudaKreatif,252,73,6,,584690,295,day0
2023-11-06 01,SahabatMudaKreatif,252,73,940,4010,0,3,day0
2023-11-06 01,SahabatMudaKreatif,252,73,940,5031,0,269,day0
2023-11-06 01,SahabatMudaKreatif,252,73,941,2001,1767944,894,day0
2023-11-06 01,SahabatMudaKreatif,252,73,973,,856224,432,day0
2023-11-06 01,8Elements,254,73,941,2001,0,2,day0
2023-11-06 01,PT. Aman Devloop Indonesia,257,73,940,4010,0,17,day0
2023-11-06 01,PT. Aman Devloop Indonesia,257,73,940,5031,0,5,day0
2023-11-06 01,PT. Aman Devloop Indonesia,257,73,941,2001,0,5294,day0
2023-11-06 01,Hypermind,258,66,938,2001,0,1,day0
2023-11-06 01,Hypermind,258,73,941,2001,0,5002,day0
2023-11-06 01,Telesat_System_Integrator,261,73,111,4012,0,982,day0
2023-11-06 01,Telesat_System_Integrator,261,73,23,,167479,169,day0
2023-11-06 01,Telesat_System_Integrator,261,73,6,,29730,30,day0
2023-11-06 01,Telesat_System_Integrator,261,73,940,5031,0,6,day0
2023-11-06 01,Telesat_System_Integrator,261,73,941,2001,6937,7,day0
2023-11-06 01,Telesat_System_Integrator,261,73,973,,8919,9,day0
2023-11-06 01,Artha_Ghani_Sempurna,263,72,372,2001,0,1,day0
2023-11-06 01,Artha_Ghani_Sempurna,263,72,987,2001,0,1,day0
2023-11-06 01,Artha_Ghani_Sempurna,263,73,111,4012,0,1,day0
2023-11-06 01,Artha_Ghani_Sempurna,263,73,941,2001,0,7,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,111,4012,0,905,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,23,,13890832,13317,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,6,,170941,165,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,940,4010,0,9,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,940,5031,0,62,day0
2023-11-06 01,Terminal Kreasi Nusantara,2836,73,941,2001,31711,31,day0
2023-11-06 01,KEE_Digital,2895,73,941,2001,0,8,day0
2023-11-06 01,18 Box Media,2915,72,372,2001,0,25,day0
2023-11-06 01,18 Box Media,2915,72,9,,0,5,day0
2023-11-06 01,18 Box Media,2915,72,987,2001,0,25,day0
2023-11-06 01,18 Box Media,2915,73,111,4012,0,10749,day0
2023-11-06 01,18 Box Media,2915,73,23,,71316,36,day0
2023-11-06 01,18 Box Media,2915,73,6,,45563,23,day0
2023-11-06 01,18 Box Media,2915,73,940,5031,0,8264,day0
2023-11-06 01,18 Box Media,2915,73,941,2001,647787,427,day0
2023-11-06 01,Access Mobile,42,66,938,2001,0,34,day0
2023-11-06 01,Access Mobile,42,67,941,2001,0,70,day0
2023-11-06 01,Triyakom,50,66,938,2001,0,203,day0
2023-11-06 01,Triyakom,50,67,111,4012,0,6,day0
2023-11-06 01,Triyakom,50,67,940,5030,0,3039,day0
2023-11-06 01,Triyakom,50,67,941,2001,3604,61321,day0
2023-11-06 01,Triyakom,50,68,111,4012,0,17,day0
2023-11-06 01,Triyakom,50,68,949,2001,985000,126,day0
2023-11-06 01,Triyakom,50,72,123,2001,0,6,day0
2023-11-06 01,Triyakom,50,72,372,2001,0,25,day0
2023-11-06 01,Triyakom,50,72,372,,0,1,day0
2023-11-06 01,Triyakom,50,72,9,,0,11,day0
2023-11-06 01,Triyakom,50,72,987,2001,0,26,day0
2023-11-06 01,Triyakom,50,73,111,4012,0,347,day0
2023-11-06 01,Triyakom,50,73,6,,1802,2,day0
2023-11-06 01,Triyakom,50,73,941,2001,54060,60,day0
2023-11-06 01,Triyakom,50,73,973,,17218,19,day0
2023-11-06 01,Utopia,51,72,123,2001,0,2,day0
2023-11-06 01,Utopia,51,72,372,,0,1,day0
2023-11-06 01,Utopia,51,72,987,2001,0,1,day0
2023-11-06 01,Utopia,51,73,111,4012,0,110511,day0
2023-11-06 01,Utopia,51,73,23,,694579,1391,day0
2023-11-06 01,Utopia,51,73,6,,84330,163,day0
2023-11-06 01,Utopia,51,73,940,4010,0,2,day0
2023-11-06 01,Utopia,51,73,940,5031,0,191,day0
2023-11-06 01,Utopia,51,73,941,2001,1458274,1637,day0
2023-11-06 01,Utopia,51,73,973,,721578,723,day0
2023-11-06 01,Falcon,52,66,938,2001,0,104,day0
2023-11-06 01,Falcon,52,67,111,4012,0,1,day0
2023-11-06 01,Falcon,52,72,123,2001,0,2,day0
2023-11-06 01,Falcon,52,72,372,2001,0,330,day0
2023-11-06 01,Falcon,52,72,9,,0,249,day0
2023-11-06 01,Falcon,52,72,940,5031,0,8,day0
2023-11-06 01,Falcon,52,72,987,2001,0,330,day0
2023-11-06 01,Falcon,52,73,111,4012,0,167,day0
2023-11-06 01,Falcon,52,73,941,2001,26757,786,day0
2023-11-06 01,Fortumo,69,67,941,2001,0,28,day0
2023-11-06 01,Fortumo,69,68,111,4012,0,17,day0
2023-11-06 01,Fortumo,69,68,949,2001,132490,8,day0
2023-11-06 01,Opera,70,66,938,2001,0,4,day0
2023-11-06 01,Codapay,74,66,938,2001,0,8,day0
2023-11-06 01,Codapay,74,67,715,,0,12,day0
2023-11-06 01,Codapay,74,67,941,2001,0,314,day0
2023-11-06 01,Codapay,74,68,111,4012,0,14,day0
2023-11-06 01,Codapay,74,68,949,2001,1313822,129,day0
2023-11-06 01,Line,76,68,111,4012,0,3,day0
2023-11-06 01,Line,76,68,949,2001,204949,28,day0
2023-11-06 01,Celltick_Project,77,66,938,2001,0,3,day0
2023-11-06 01,Celltick_Project,77,72,372,2001,0,2,day0
2023-11-06 01,Celltick_Project,77,72,987,2001,0,2,day0
2023-11-06 01,Celltick_Project,77,73,111,4012,0,50195,day0
2023-11-06 01,Celltick_Project,77,73,23,,730229,842,day0
2023-11-06 01,Celltick_Project,77,73,6,,650922,773,day0
2023-11-06 01,Celltick_Project,77,73,940,4010,0,7,day0
2023-11-06 01,Celltick_Project,77,73,940,5031,0,333,day0
2023-11-06 01,Celltick_Project,77,73,941,2001,1254942,1560,day0
2023-11-06 01,Celltick_Project,77,73,973,,2703,3,day0
2023-11-06 01,NetM_GooglePlay,78,66,938,2001,0,244,day0
