CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL,REMARK
25-10-2023 10,100,0,,2273,day0
25-10-2023 10,100,0,,700,day0
25-10-2023 10,100,1,,2,day0
25-10-2023 10,100,1,,2,day0
25-10-2023 10,133,0,,216,day0
25-10-2023 10,150,0,4010.0,9,day0
25-10-2023 10,150,0,4010.0,3,day0
25-10-2023 10,150,0,5030.0,19,day0
25-10-2023 10,150,0,5030.0,47,day0
25-10-2023 10,150,0,5031.0,1,day0
25-10-2023 10,150,0,5031.0,3,day0
25-10-2023 10,150,0,,1,day0
25-10-2023 10,150,0,,5,day0
25-10-2023 10,200,0,2001.0,616,day0
25-10-2023 10,200,0,2001.0,1991,day0
25-10-2023 10,200,0,4012.0,1,day0
25-10-2023 10,200,0,4012.0,1,day0
25-10-2023 10,200,0,5031.0,15,day0
25-10-2023 10,200,0,5031.0,3,day0
25-10-2023 10,300,1,2001.0,182,day0
25-10-2023 10,300,1,2001.0,91,day0
25-10-2023 10,300,1,4012.0,2062,day0
25-10-2023 10,300,1,4012.0,1454,day0
25-10-2023 10,300,0,5004.0,2650,day0
25-10-2023 10,300,0,5004.0,2088,day0
25-10-2023 10,300,1,5031.0,37,day0
25-10-2023 10,300,1,5031.0,20,day0
25-10-2023 10,400,1,2001.0,1,day0
25-10-2023 10,400,0,5004.0,23,day0
25-10-2023 10,400,0,5004.0,23,day0
25-10-2023 11,100,0,2001.0,29111,day0
25-10-2023 11,100,1,2001.0,4,day0
25-10-2023 11,100,1,2001.0,3,day0
25-10-2023 11,100,0,2001.0,83615,day0
25-10-2023 11,100,1,4010.0,1,day0
25-10-2023 11,100,0,4010.0,376,day0
25-10-2023 11,100,0,4010.0,138,day0
25-10-2023 11,100,1,4012.0,20,day0
25-10-2023 11,100,1,4012.0,22,day0
25-10-2023 11,100,0,4012.0,12371,day0
25-10-2023 11,100,0,4012.0,36351,day0
25-10-2023 11,100,0,5005.0,1,day0
25-10-2023 11,100,0,5005.0,1,day0
25-10-2023 11,100,0,5031.0,3343,day0
25-10-2023 11,100,0,5031.0,1126,day0
25-10-2023 11,100,1,5031.0,14,day0
25-10-2023 11,100,1,5031.0,4,day0
25-10-2023 11,100,0,,2256,day0
25-10-2023 11,100,1,,2,day0
25-10-2023 11,100,0,,754,day0
25-10-2023 11,133,0,,196,day0
25-10-2023 11,150,0,2001.0,1,day0
25-10-2023 11,150,0,4010.0,19,day0
25-10-2023 11,150,0,4010.0,7,day0
25-10-2023 11,150,0,5030.0,54,day0
25-10-2023 11,150,0,5030.0,15,day0
25-10-2023 11,150,0,5031.0,2,day0
25-10-2023 11,150,0,5031.0,2,day0
25-10-2023 11,150,0,,2,day0
25-10-2023 11,200,0,2001.0,1502,day0
25-10-2023 11,200,0,2001.0,543,day0
25-10-2023 11,200,0,4012.0,2,day0
25-10-2023 11,200,0,4012.0,3,day0
25-10-2023 11,200,0,5031.0,7,day0
25-10-2023 11,200,0,5031.0,2,day0
25-10-2023 11,300,1,2001.0,178,day0
25-10-2023 11,300,1,2001.0,84,day0
25-10-2023 11,300,1,4012.0,1587,day0
25-10-2023 11,300,1,4012.0,1013,day0
25-10-2023 11,300,0,5004.0,2025,day0
25-10-2023 11,300,0,5004.0,1399,day0
25-10-2023 11,300,1,5031.0,23,day0
25-10-2023 11,300,1,5031.0,13,day0
25-10-2023 12,100,1,2001.0,3,day0
25-10-2023 12,100,0,2001.0,29636,day0
25-10-2023 12,100,0,2001.0,86295,day0
25-10-2023 12,100,0,4010.0,414,day0
25-10-2023 12,100,1,4010.0,1,day0
25-10-2023 12,100,0,4010.0,120,day0
25-10-2023 12,100,0,4012.0,38421,day0
25-10-2023 12,100,1,4012.0,14,day0
25-10-2023 12,100,0,4012.0,13163,day0
25-10-2023 12,100,1,4012.0,21,day0
25-10-2023 12,100,1,5031.0,6,day0
