CDRDATE,SERVICE_KEY,DIAMETER,TOTAL
21-10-2023 13:31,100,4010.0,1
21-10-2023 13:31,100,4010.0,10
21-10-2023 13:31,100,4012.0,670
21-10-2023 13:31,100,4012.0,226
21-10-2023 13:31,100,5031.0,39
21-10-2023 13:31,100,5031.0,3
21-10-2023 13:31,100,,14
21-10-2023 13:31,100,,38
21-10-2023 13:31,133,,4
21-10-2023 13:31,150,5030.0,1
21-10-2023 13:31,200,2001.0,4
21-10-2023 13:31,200,2001.0,2
21-10-2023 13:31,300,2001.0,1
21-10-2023 13:31,300,2001.0,1
21-10-2023 13:31,300,4012.0,19
21-10-2023 13:31,300,4012.0,10
21-10-2023 13:31,300,5004.0,24
21-10-2023 13:31,300,5004.0,24
21-10-2023 13:32,100,2001.0,1341
21-10-2023 13:32,100,2001.0,449
21-10-2023 13:32,100,4010.0,1
21-10-2023 13:32,100,4010.0,7
21-10-2023 13:32,100,4012.0,211
21-10-2023 13:32,100,4012.0,571
21-10-2023 13:32,100,5031.0,12
21-10-2023 13:32,100,5031.0,36
21-10-2023 13:32,100,,39
21-10-2023 13:32,100,,9
21-10-2023 13:32,133,,2
21-10-2023 13:32,150,5030.0,1
21-10-2023 13:32,150,5030.0,1
21-10-2023 13:32,200,2001.0,4
21-10-2023 13:32,200,2001.0,2
21-10-2023 13:32,300,2001.0,2
21-10-2023 13:32,300,4012.0,27
21-10-2023 13:32,300,4012.0,34
21-10-2023 13:32,300,5004.0,10
21-10-2023 13:32,300,5004.0,8
21-10-2023 13:32,300,5031.0,1
21-10-2023 13:33,100,2001.0,436
21-10-2023 13:33,100,2001.0,1339
21-10-2023 13:33,100,4010.0,4
21-10-2023 13:33,100,4010.0,1
21-10-2023 13:33,100,4012.0,634
21-10-2023 13:33,100,4012.0,214
21-10-2023 13:33,100,5031.0,27
21-10-2023 13:33,100,5031.0,12
21-10-2023 13:33,100,,35
21-10-2023 13:33,100,,12
21-10-2023 13:33,133,,4
21-10-2023 13:33,150,5030.0,1
21-10-2023 13:33,200,2001.0,5
21-10-2023 13:33,200,2001.0,7
21-10-2023 13:33,300,4012.0,11
21-10-2023 13:33,300,4012.0,12
21-10-2023 13:33,300,5004.0,10
21-10-2023 13:33,300,5004.0,2
21-10-2023 13:33,300,5031.0,1
21-10-2023 13:34,100,2001.0,447
21-10-2023 13:34,100,2001.0,1261
21-10-2023 13:34,100,4010.0,10
21-10-2023 13:34,100,4010.0,2
21-10-2023 13:34,100,4012.0,585
21-10-2023 13:34,100,4012.0,203
21-10-2023 13:34,100,5031.0,14
21-10-2023 13:34,100,5031.0,29
21-10-2023 13:34,100,,14
21-10-2023 13:34,100,,28
21-10-2023 13:34,133,,6
21-10-2023 13:34,200,2001.0,6
21-10-2023 13:34,200,2001.0,2
21-10-2023 13:34,300,4012.0,20
21-10-2023 13:34,300,4012.0,8
21-10-2023 13:34,300,5004.0,5
21-10-2023 13:34,300,5004.0,3
21-10-2023 13:35,100,2001.0,437
21-10-2023 13:35,100,2001.0,1272
21-10-2023 13:35,100,4010.0,5
21-10-2023 13:35,100,4010.0,5
21-10-2023 13:35,100,4012.0,624
21-10-2023 13:35,100,4012.0,203
21-10-2023 13:35,100,5031.0,40
21-10-2023 13:35,100,5031.0,9
21-10-2023 13:35,100,,19
21-10-2023 13:35,100,,29
21-10-2023 13:35,133,,3
21-10-2023 13:35,150,5030.0,2
21-10-2023 13:35,200,2001.0,9
21-10-2023 13:35,200,2001.0,2
21-10-2023 13:35,300,2001.0,1
21-10-2023 13:35,300,2001.0,1
21-10-2023 13:35,300,4012.0,9
21-10-2023 13:35,300,4012.0,6
21-10-2023 13:35,300,5004.0,7
21-10-2023 13:35,300,5004.0,16
21-10-2023 13:36,100,2001.0,1329
21-10-2023 13:36,100,2001.0,452
21-10-2023 13:36,100,4010.0,5
21-10-2023 13:36,100,4012.0,216
21-10-2023 13:36,100,4012.0,657
