CDR_DATE,CDR_HOUR,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
20-12-2023,23:25,973,,73,4,day1
20-12-2023,23:25,987,2001,72,15,day1
20-12-2023,23:25,991,,73,853,day1
20-12-2023,23:26,111,4012,67,61,day1
20-12-2023,23:26,111,4012,68,131,day1
20-12-2023,23:26,111,4012,73,6035,day1
20-12-2023,23:26,123,2001,72,2,day1
20-12-2023,23:26,23,,73,143,day1
20-12-2023,23:26,372,2001,72,21,day1
20-12-2023,23:26,6,,73,13,day1
20-12-2023,23:26,9,,72,21,day1
20-12-2023,23:26,938,2001,66,145,day1
20-12-2023,23:26,940,4010,73,14,day1
20-12-2023,23:26,940,4012,66,12,day1
20-12-2023,23:26,940,5030,67,24,day1
20-12-2023,23:26,940,5031,73,24,day1
20-12-2023,23:26,941,2001,67,409,day1
20-12-2023,23:26,941,2001,73,139,day1
20-12-2023,23:26,949,2001,68,15,day1
20-12-2023,23:26,973,,73,3,day1
20-12-2023,23:26,987,2001,72,20,day1
20-12-2023,23:26,991,,73,1006,day1
20-12-2023,23:27,111,4012,67,47,day1
20-12-2023,23:27,111,4012,68,125,day1
20-12-2023,23:27,111,4012,73,7077,day1
20-12-2023,23:27,123,2001,72,4,day1
20-12-2023,23:27,23,,73,151,day1
20-12-2023,23:27,372,2001,72,26,day1
20-12-2023,23:27,372,,72,1,day1
20-12-2023,23:27,6,,73,18,day1
20-12-2023,23:27,9,,72,15,day1
20-12-2023,23:27,938,2001,66,133,day1
20-12-2023,23:27,940,4010,73,30,day1
20-12-2023,23:27,940,4012,66,11,day1
20-12-2023,23:27,940,5030,66,4,day1
20-12-2023,23:27,940,5030,67,23,day1
20-12-2023,23:27,940,5031,66,1,day1
20-12-2023,23:27,940,5031,73,66,day1
20-12-2023,23:27,941,2001,67,405,day1
20-12-2023,23:27,941,2001,73,177,day1
20-12-2023,23:27,949,2001,68,18,day1
20-12-2023,23:27,973,,73,4,day1
20-12-2023,23:27,987,2001,72,28,day1
20-12-2023,23:27,991,,73,1051,day1
20-12-2023,23:28,111,4012,67,38,day1
20-12-2023,23:28,111,4012,68,133,day1
20-12-2023,23:28,111,4012,73,6965,day1
20-12-2023,23:28,123,2001,72,4,day1
20-12-2023,23:28,23,,73,274,day1
20-12-2023,23:28,372,2001,72,19,day1
20-12-2023,23:28,6,,73,19,day1
20-12-2023,23:28,9,,72,10,day1
20-12-2023,23:28,938,2001,66,126,day1
20-12-2023,23:28,940,4010,73,26,day1
20-12-2023,23:28,940,4012,66,11,day1
20-12-2023,23:28,940,5030,66,2,day1
20-12-2023,23:28,940,5030,67,23,day1
20-12-2023,23:28,940,5031,73,62,day1
20-12-2023,23:28,941,2001,67,399,day1
20-12-2023,23:28,941,2001,73,188,day1
20-12-2023,23:28,949,2001,68,11,day1
20-12-2023,23:28,973,,73,5,day1
20-12-2023,23:28,987,2001,72,19,day1
20-12-2023,23:28,991,,73,1488,day1
20-12-2023,23:29,111,4012,67,45,day1
20-12-2023,23:29,111,4012,68,113,day1
20-12-2023,23:29,111,4012,73,5463,day1
20-12-2023,23:29,23,,73,232,day1
20-12-2023,23:29,372,2001,72,17,day1
20-12-2023,23:29,6,,73,21,day1
20-12-2023,23:29,601,,66,4,day1
20-12-2023,23:29,9,,72,5,day1
20-12-2023,23:29,938,2001,66,117,day1
20-12-2023,23:29,940,4010,67,1,day1
20-12-2023,23:29,940,4010,73,1,day1
20-12-2023,23:29,940,4012,66,15,day1
20-12-2023,23:29,940,5030,66,1,day1
20-12-2023,23:29,940,5030,67,25,day1
20-12-2023,23:29,940,5031,72,1,day1
20-12-2023,23:29,941,2001,67,413,day1
20-12-2023,23:29,941,2001,73,265,day1
20-12-2023,23:29,948,5031,68,1,day1
20-12-2023,23:29,949,2001,68,12,day1
20-12-2023,23:29,973,,73,3,day1
20-12-2023,23:29,987,2001,72,17,day1
20-12-2023,23:29,991,,73,1576,day1
20-12-2023,23:30,111,4012,67,50,day1
20-12-2023,23:30,111,4012,68,132,day1
20-12-2023,23:30,111,4012,73,5776,day1
20-12-2023,23:30,23,,73,238,day1
20-12-2023,23:30,372,2001,72,21,day1
20-12-2023,23:30,6,,73,47,day1
20-12-2023,23:30,601,,66,1,day1
20-12-2023,23:30,9,,72,11,day1
20-12-2023,23:30,938,2001,66,141,day1
20-12-2023,23:30,940,4010,67,1,day1
20-12-2023,23:30,940,4010,73,2,day1
20-12-2023,23:30,940,4012,66,7,day1
20-12-2023,23:30,940,5030,67,21,day1
20-12-2023,23:30,940,5031,66,2,day1
20-12-2023,23:30,940,5031,73,4,day1
20-12-2023,23:30,941,2001,67,430,day1
20-12-2023,23:30,941,2001,73,248,day1
20-12-2023,23:30,948,5031,68,1,day1
20-12-2023,23:30,949,2001,68,18,day1
20-12-2023,23:30,973,,73,1,day1
20-12-2023,23:30,987,2001,72,21,day1
20-12-2023,23:30,991,,73,1674,day1
20-12-2023,23:31,111,4012,67,48,day1
20-12-2023,23:31,111,4012,68,142,day1
20-12-2023,23:31,111,4012,73,6122,day1
20-12-2023,23:31,123,2001,72,2,day1
20-12-2023,23:31,23,,73,238,day1
20-12-2023,23:31,372,2001,72,13,day1
20-12-2023,23:31,6,,73,16,day1
20-12-2023,23:31,9,,72,10,day1
20-12-2023,23:31,938,2001,66,117,day1
20-12-2023,23:31,940,4010,67,1,day1
20-12-2023,23:31,940,4010,73,1,day1
20-12-2023,23:31,940,4012,66,7,day1
20-12-2023,23:31,940,5030,67,24,day1
20-12-2023,23:31,940,5031,66,3,day1
20-12-2023,23:31,940,5031,73,8,day1
20-12-2023,23:31,941,2001,67,416,day1
20-12-2023,23:31,941,2001,73,161,day1
20-12-2023,23:31,948,4010,68,1,day1
20-12-2023,23:31,949,2001,68,15,day1
20-12-2023,23:31,987,2001,72,13,day1
20-12-2023,23:31,991,,73,1253,day1
20-12-2023,23:31,998,,67,269,day1
20-12-2023,23:32,111,4012,67,52,day1
20-12-2023,23:32,111,4012,68,115,day1
20-12-2023,23:32,111,4012,73,7400,day1
20-12-2023,23:32,123,2001,72,2,day1
20-12-2023,23:32,23,,73,237,day1
20-12-2023,23:32,372,2001,72,24,day1
20-12-2023,23:32,6,,73,16,day1
20-12-2023,23:32,9,,72,11,day1
20-12-2023,23:32,938,2001,66,131,day1
20-12-2023,23:32,940,4010,67,1,day1
20-12-2023,23:32,940,4010,73,6,day1
20-12-2023,23:32,940,4012,66,10,day1
20-12-2023,23:32,940,5030,66,1,day1
20-12-2023,23:32,940,5030,67,25,day1
20-12-2023,23:32,940,5031,66,2,day1
20-12-2023,23:32,940,5031,73,76,day1
20-12-2023,23:32,941,2001,67,434,day1
20-12-2023,23:32,941,2001,73,204,day1
20-12-2023,23:32,948,5031,68,1,day1
20-12-2023,23:32,949,2001,68,18,day1
20-12-2023,23:32,973,,73,6,day1
20-12-2023,23:32,987,2001,72,23,day1
20-12-2023,23:32,991,,73,1286,day1
14-12-2023,23:20,111,4012,67,41,day7
14-12-2023,23:20,111,4012,68,97,day7
14-12-2023,23:20,111,4012,73,8549,day7
14-12-2023,23:20,123,2001,72,2,day7
14-12-2023,23:20,23,,73,216,day7
14-12-2023,23:20,372,2001,72,22,day7
14-12-2023,23:20,372,,72,1,day7
14-12-2023,23:20,41,,67,2,day7
14-12-2023,23:20,6,,73,11,day7
14-12-2023,23:20,601,,66,1,day7
14-12-2023,23:20,9,,72,14,day7
14-12-2023,23:20,938,2001,66,165,day7
14-12-2023,23:20,940,4010,67,1,day7
14-12-2023,23:20,940,4010,73,19,day7
14-12-2023,23:20,940,4012,66,16,day7
14-12-2023,23:20,940,5030,66,4,day7
14-12-2023,23:20,940,5030,67,19,day7
14-12-2023,23:20,940,5031,66,1,day7
14-12-2023,23:20,940,5031,67,1,day7
14-12-2023,23:20,940,5031,73,66,day7
14-12-2023,23:20,941,2001,67,416,day7
14-12-2023,23:20,941,2001,73,210,day7
14-12-2023,23:20,949,2001,68,38,day7
14-12-2023,23:20,973,,73,22,day7
14-12-2023,23:20,987,2001,72,23,day7
14-12-2023,23:20,991,,73,1131,day7
14-12-2023,23:21,111,4012,67,32,day7
14-12-2023,23:21,111,4012,68,109,day7
14-12-2023,23:21,111,4012,73,9172,day7
14-12-2023,23:21,123,2001,72,2,day7
14-12-2023,23:21,23,,73,169,day7
14-12-2023,23:21,372,2001,72,15,day7
14-12-2023,23:21,41,,67,1,day7
14-12-2023,23:21,6,,73,30,day7
14-12-2023,23:21,9,,72,7,day7
14-12-2023,23:21,938,2001,66,153,day7
14-12-2023,23:21,940,4010,73,7,day7
14-12-2023,23:21,940,4012,66,12,day7
14-12-2023,23:21,940,5030,66,1,day7
14-12-2023,23:21,940,5030,67,24,day7
14-12-2023,23:21,940,5030,72,1,day7
14-12-2023,23:21,940,5031,66,1,day7
14-12-2023,23:21,940,5031,73,84,day7
14-12-2023,23:21,941,2001,67,443,day7
