CDR_DATE,CP_NAME,ACCESSFLAG,TOTAL,SUCCESS,REMARK
11-01-2024,KEE_Digital,73,346922,345027,day1
11-01-2024,LinkIT_360,73,538072,532908,day1
11-01-2024,Macrokiosk,73,5,5,day1
11-01-2024,Mocoplus_Technology,73,1065,1028,day1
11-01-2024,Opera,73,462,208,day1
11-01-2024,PT Festival Digital Nusantara,73,65092,63990,day1
11-01-2024,PT Milenial Nusantara Citra,73,2115,2010,day1
11-01-2024,PT. Aman Devloop Indonesia,73,45742,45211,day1
11-01-2024,PT. Distribution Oriented Technologies,73,151,150,day1
11-01-2024,PT. Gloria Viva Nusantara,73,898848,3021,day1
11-01-2024,PT. Panen Kita Mandiri,73,4122,1290,day1
11-01-2024,SahabatMudaKreatif,73,657222,651488,day1
11-01-2024,Saharjo enam sembilan,73,27793,4004,day1
11-01-2024,SaktiMobile,73,3816,1188,day1
11-01-2024,Sinergi Bestama Indonesia,73,150598,146574,day1
11-01-2024,Telesat_System_Integrator,73,14330,12722,day1
11-01-2024,Terminal Kreasi Nusantara,73,16778,1073,day1
11-01-2024,Triple One Global,73,3,3,day1
11-01-2024,Triyakom,73,467580,452605,day1
11-01-2024,Utopia,73,2051289,1961107,day1
11-01-2024,Yatta Eracipta Solusi,73,183325,181439,day1
05-01-2024,8Elements,66,20,18,day7
05-01-2024,Access Mobile,66,365,365,day7
05-01-2024,Akses Cipta Solusi,66,87,86,day7
05-01-2024,Artajasa,66,81,81,day7
05-01-2024,Artha_Ghani_Sempurna,66,1,1,day7
05-01-2024,Braincode,66,3,0,day7
05-01-2024,CP Nine Live,66,1,1,day7
05-01-2024,Celltick_Project,66,107,107,day7
05-01-2024,Codapay,66,47,47,day7
05-01-2024,Digital HUB Accenture,66,206,206,day7
05-01-2024,Emobile,66,869,751,day7
05-01-2024,Era Digital Media,66,159,159,day7
05-01-2024,Falcon,66,1240,1240,day7
05-01-2024,Forest Indo Niaga,66,1,1,day7
05-01-2024,Fortumo,66,17,17,day7
05-01-2024,GENFLIX,66,485,481,day7
05-01-2024,GMS AG (bulk),66,33024,33015,day7
05-01-2024,Galatic Multimedia_oomph,66,9,9,day7
05-01-2024,Global Media Solusi,66,2,2,day7
05-01-2024,Infinetworks CIMB Niaga,66,615,615,day7
05-01-2024,Integrasi Tunas Muda,66,1,1,day7
05-01-2024,Jatis Mobile,66,836,833,day7
05-01-2024,Kreasi Media Karya_KMK,66,1,1,day7
05-01-2024,LinkIT_360,66,34,34,day7
05-01-2024,Macrokiosk,66,2,2,day7
05-01-2024,Mitra Mob Indo,66,1,1,day7
05-01-2024,MitraComm Ekasarana,66,278,278,day7
05-01-2024,Mocoplus_Technology,66,1,1,day7
05-01-2024,Monty Mobile (bulk),66,1699,1697,day7
05-01-2024,NetM_GooglePlay,66,3550,3548,day7
05-01-2024,Opera,66,18,18,day7
05-01-2024,PCCW Vuclip VIU,66,1,1,day7
05-01-2024,PT Festival Digital Nusantara,66,148,147,day7
05-01-2024,PT Metrane,66,529,506,day7
05-01-2024,PT Milenial Nusantara Citra,66,11,0,day7
05-01-2024,PT. Aman Devloop Indonesia,66,7,7,day7
05-01-2024,PT. Distribution Oriented Technologies,66,14,14,day7
05-01-2024,PT. Gloria Viva Nusantara,66,14,0,day7
05-01-2024,Redision,66,13,13,day7
05-01-2024,SPRINT_Strata Prima Internusa,66,13273,13273,day7
05-01-2024,SahabatMudaKreatif,66,12,12,day7
05-01-2024,Sinergi Bestama Indonesia,66,10,10,day7
05-01-2024,Telesat_System_Integrator,66,8,8,day7
05-01-2024,Terminal Kreasi Nusantara,66,1,1,day7
05-01-2024,Triple One Global,66,5,5,day7
05-01-2024,Triyakom,66,1437,1437,day7
05-01-2024,Utopia,66,1,1,day7
05-01-2024,Visa_Xlink,66,1,1,day7
05-01-2024,Yatta Eracipta Solusi,66,28,28,day7
05-01-2024,ZingMKUows,66,7,0,day7
05-01-2024,,66,53,0,day7
05-01-2024,8Elements,67,1,0,day7
05-01-2024,Access Mobile,67,824,821,day7
05-01-2024,Akses Cipta Solusi,67,165,164,day7
05-01-2024,Artajasa,67,49,49,day7
05-01-2024,BPJS,67,6265,6234,day7
05-01-2024,Celltick_Project,67,9,1,day7
05-01-2024,Codapay,67,3089,2948,day7
05-01-2024,Digital HUB Accenture,67,304,304,day7
05-01-2024,Emobile,67,3591,3580,day7
05-01-2024,Falcon,67,16,16,day7
05-01-2024,Fortumo,67,669,632,day7
05-01-2024,Infinetworks CIMB Niaga,67,1401,1401,day7
05-01-2024,Jatis Mobile,67,903,903,day7
05-01-2024,Kreasi Media Karya_KMK,67,1,1,day7
05-01-2024,MitraComm Ekasarana,67,43730,43679,day7
05-01-2024,NetM_GooglePlay,67,3604,3604,day7
05-01-2024,Opera,67,26,5,day7
05-01-2024,PCCW Vuclip VIU,67,6,6,day7
05-01-2024,PT Festival Digital Nusantara,67,105,105,day7
05-01-2024,PT Metrane,67,1210,1210,day7
05-01-2024,PT Milenial Nusantara Citra,67,173,0,day7
05-01-2024,Redision,67,24,24,day7
05-01-2024,SPRINT_Strata Prima Internusa,67,14749,14748,day7
05-01-2024,Triple One Global,67,2,2,day7
05-01-2024,Triyakom,67,357990,357909,day7
05-01-2024,Utopia,67,12557,36,day7
05-01-2024,VIU,67,5141,5141,day7
05-01-2024,Visa_Xlink,67,6,5,day7
05-01-2024,,67,23,0,day7
05-01-2024,Codapay,68,1219,1219,day7
05-01-2024,Fortumo,68,538,538,day7
05-01-2024,Line,68,320,320,day7
05-01-2024,NetM_GooglePlay,68,91217,91201,day7
05-01-2024,PT Metrane,68,37,37,day7
05-01-2024,Triyakom,68,823,823,day7
05-01-2024,18 Box Media,72,503,438,day7
05-01-2024,8Elements,72,63,62,day7
05-01-2024,Celltick_Project,72,2581,2365,day7
05-01-2024,Era Digital Media,72,301,214,day7
05-01-2024,Falcon,72,15232,12252,day7
05-01-2024,GENFLIX,72,32,32,day7
05-01-2024,Hypermind,72,2,2,day7
05-01-2024,KEE_Digital,72,5382,4375,day7
05-01-2024,LinkIT_360,72,41,24,day7
05-01-2024,Opera,72,10,8,day7
05-01-2024,PT. Gloria Viva Nusantara,72,8,8,day7
05-01-2024,SahabatMudaKreatif,72,20,18,day7
05-01-2024,Telesat_System_Integrator,72,28,27,day7
