CDRDATE,SERVICE_KEY,IS_ROAMING,DIAMETER,TOTAL
2023-11-05 00:35,300.0,0.0,5004.0,2.0
2023-11-05 00:36,100.0,0.0,2001.0,498.0
2023-11-05 00:36,100.0,0.0,4010.0,11.0
2023-11-05 00:36,100.0,0.0,4012.0,273.0
2023-11-05 00:36,100.0,0.0,5031.0,43.0
2023-11-05 00:36,100.0,1.0,5031.0,3.0
2023-11-05 00:36,100.0,0.0,,15.0
2023-11-05 00:36,133.0,0.0,,1.0
2023-11-05 00:36,150.0,0.0,5030.0,1.0
2023-11-05 00:36,200.0,0.0,2001.0,1.0
2023-11-05 00:37,100.0,0.0,2001.0,548.0
2023-11-05 00:37,100.0,0.0,4010.0,17.0
2023-11-05 00:37,100.0,0.0,4012.0,307.0
2023-11-05 00:37,100.0,0.0,5031.0,38.0
2023-11-05 00:37,100.0,0.0,,11.0
2023-11-05 00:37,133.0,0.0,,1.0
2023-11-05 00:37,150.0,0.0,,1.0
2023-11-05 00:37,200.0,0.0,2001.0,3.0
2023-11-05 00:37,200.0,0.0,5031.0,1.0
2023-11-05 00:38,100.0,0.0,2001.0,574.0
2023-11-05 00:38,100.0,0.0,4010.0,16.0
2023-11-05 00:38,100.0,0.0,4012.0,266.0
2023-11-05 00:38,100.0,0.0,5031.0,45.0
2023-11-05 00:38,100.0,0.0,,20.0
2023-11-05 00:38,133.0,0.0,,1.0
2023-11-05 00:38,200.0,0.0,2001.0,1.0
2023-11-05 00:39,100.0,0.0,2001.0,551.0
2023-11-05 00:39,100.0,0.0,4010.0,13.0
2023-11-05 00:39,100.0,0.0,4012.0,261.0
2023-11-05 00:39,100.0,0.0,5031.0,40.0
2023-11-05 00:39,100.0,0.0,,16.0
2023-11-05 00:39,133.0,0.0,,1.0
2023-11-05 00:39,150.0,0.0,4010.0,1.0
2023-11-05 00:39,200.0,0.0,2001.0,3.0
2023-11-05 00:40,100.0,0.0,2001.0,539.0
2023-11-05 00:40,100.0,0.0,4010.0,10.0
2023-11-05 00:40,100.0,0.0,4012.0,254.0
2023-11-05 00:40,100.0,0.0,5031.0,39.0
2023-11-05 00:40,100.0,0.0,,20.0
2023-11-05 00:41,100.0,0.0,2001.0,512.0
2023-11-05 00:41,100.0,0.0,4010.0,7.0
2023-11-05 00:41,100.0,0.0,4012.0,271.0
2023-11-05 00:41,100.0,1.0,4012.0,2.0
2023-11-05 00:41,100.0,0.0,5031.0,38.0
2023-11-05 00:41,100.0,0.0,,12.0
2023-11-05 00:41,150.0,0.0,5030.0,1.0
2023-11-05 00:41,200.0,0.0,2001.0,2.0
2023-11-05 00:41,300.0,1.0,4012.0,1.0
2023-11-05 00:41,300.0,0.0,5004.0,1.0
2023-11-05 00:42,100.0,0.0,2001.0,523.0
2023-11-05 00:42,100.0,1.0,2001.0,1.0
2023-11-05 00:42,100.0,0.0,4010.0,12.0
2023-11-05 00:42,100.0,0.0,4012.0,274.0
2023-11-05 00:42,100.0,0.0,5031.0,31.0
2023-11-05 00:42,100.0,0.0,,21.0
2023-11-05 00:42,133.0,0.0,,1.0
2023-11-05 00:42,150.0,0.0,5030.0,2.0
2023-11-05 00:42,300.0,1.0,4012.0,2.0
2023-11-05 00:43,100.0,0.0,2001.0,494.0
2023-11-05 00:43,100.0,0.0,4010.0,10.0
2023-11-05 00:43,100.0,0.0,4012.0,275.0
2023-11-05 00:43,100.0,1.0,4012.0,3.0
2023-11-05 00:43,100.0,0.0,5031.0,36.0
2023-11-05 00:43,100.0,0.0,,13.0
2023-11-05 00:43,133.0,0.0,,3.0
2023-11-05 00:43,150.0,0.0,5030.0,1.0
2023-11-05 00:43,200.0,0.0,2001.0,1.0
2023-11-05 00:44,100.0,0.0,2001.0,326.0
2023-11-05 00:44,100.0,0.0,4010.0,4.0
2023-11-05 00:44,100.0,0.0,4012.0,185.0
2023-11-05 00:44,100.0,0.0,5031.0,24.0
2023-11-05 00:44,100.0,0.0,,15.0
2023-11-05 00:44,133.0,0.0,,1.0
2023-11-05 00:44,300.0,1.0,4012.0,1.0
2023-11-05 00:45,100.0,0.0,2001.0,550.0
2023-11-05 00:45,100.0,0.0,4010.0,6.0
2023-11-05 00:45,100.0,0.0,4012.0,260.0
2023-11-05 00:45,100.0,1.0,4012.0,1.0
2023-11-05 00:45,100.0,0.0,5031.0,25.0
2023-11-05 00:45,100.0,0.0,,21.0
2023-11-05 00:46,100.0,0.0,2001.0,518.0
2023-11-05 00:46,100.0,0.0,4010.0,12.0
2023-11-05 00:46,100.0,0.0,4012.0,244.0
2023-11-05 00:46,100.0,0.0,5031.0,36.0
2023-11-05 00:46,100.0,0.0,,15.0
2023-11-05 00:47,100.0,0.0,2001.0,539.0
2023-11-05 00:47,100.0,1.0,2001.0,1.0
2023-11-05 00:47,100.0,0.0,4010.0,6.0
