CDR_DATE,CDR_HOUR,CONTENTPROVIDERID,CP_NAME,BASICCAUSE,INTERNALCAUSE,ACCESSFLAG,TOTAL,REMARK
11-02-2024,01,51,Utopia,940,5031,73,58,day0
11-02-2024,01,51,Utopia,941,2001,67,3,day0
11-02-2024,01,51,Utopia,941,2001,73,1093,day0
11-02-2024,01,51,Utopia,973,,73,31,day0
11-02-2024,01,51,Utopia,987,2001,72,23,day0
11-02-2024,01,51,Utopia,998,,67,1379,day0
11-02-2024,01,52,Falcon,111,4012,67,4,day0
11-02-2024,01,52,Falcon,111,4012,73,60,day0
11-02-2024,01,52,Falcon,123,2001,72,2,day0
11-02-2024,01,52,Falcon,23,,73,1,day0
11-02-2024,01,52,Falcon,372,2001,72,667,day0
11-02-2024,01,52,Falcon,601,500,66,1,day0
11-02-2024,01,52,Falcon,601,500,72,1,day0
11-02-2024,01,52,Falcon,9,,72,375,day0
11-02-2024,01,52,Falcon,938,2001,66,157,day0
11-02-2024,01,52,Falcon,940,5031,72,5,day0
11-02-2024,01,52,Falcon,941,2001,73,1030,day0
11-02-2024,01,52,Falcon,987,2001,72,666,day0
11-02-2024,01,69,Fortumo,111,4012,68,7,day0
11-02-2024,01,69,Fortumo,715,,67,1,day0
11-02-2024,01,69,Fortumo,941,2001,67,30,day0
11-02-2024,01,69,Fortumo,949,2001,68,9,day0
11-02-2024,01,70,Opera,123,2001,72,4,day0
11-02-2024,01,70,Opera,363,,67,2,day0
11-02-2024,01,74,Codapay,111,4012,68,24,day0
11-02-2024,01,74,Codapay,41,,67,2,day0
11-02-2024,01,74,Codapay,715,,67,6,day0
11-02-2024,01,74,Codapay,938,2001,66,2,day0
11-02-2024,01,74,Codapay,940,5030,67,5,day0
11-02-2024,01,74,Codapay,941,2001,67,317,day0
11-02-2024,01,74,Codapay,949,2001,68,124,day0
11-02-2024,01,76,Line,111,4012,68,4,day0
11-02-2024,01,76,Line,949,2001,68,45,day0
11-02-2024,01,77,Celltick_Project,111,4012,73,104038,day0
11-02-2024,01,77,Celltick_Project,23,,73,115,day0
11-02-2024,01,77,Celltick_Project,372,2001,72,3,day0
11-02-2024,01,77,Celltick_Project,6,,73,380,day0
11-02-2024,01,77,Celltick_Project,9,,72,1,day0
11-02-2024,01,77,Celltick_Project,938,2001,66,3,day0
11-02-2024,01,77,Celltick_Project,940,4010,73,6,day0
11-02-2024,01,77,Celltick_Project,940,5031,73,51,day0
11-02-2024,01,77,Celltick_Project,941,2001,73,2291,day0
11-02-2024,01,77,Celltick_Project,973,,73,9,day0
11-02-2024,01,77,Celltick_Project,987,2001,72,3,day0
11-02-2024,01,77,Celltick_Project,998,,67,2,day0
11-02-2024,01,78,NetM_GooglePlay,111,4012,68,7923,day0
11-02-2024,01,78,NetM_GooglePlay,938,2001,66,363,day0
11-02-2024,01,78,NetM_GooglePlay,940,5031,66,3,day0
11-02-2024,01,78,NetM_GooglePlay,941,2001,67,438,day0
11-02-2024,01,78,NetM_GooglePlay,948,5030,68,1,day0
11-02-2024,01,78,NetM_GooglePlay,948,5031,68,23,day0
11-02-2024,01,78,NetM_GooglePlay,949,2001,68,434,day0
11-02-2024,01,,,10,,66,2,day0
11-02-2024,02,100,MitraComm Ekasarana,111,4012,67,556,day0
11-02-2024,02,100,MitraComm Ekasarana,938,2001,66,6,day0
11-02-2024,02,100,MitraComm Ekasarana,940,4010,67,5,day0
11-02-2024,02,100,MitraComm Ekasarana,940,5030,67,114,day0
11-02-2024,02,100,MitraComm Ekasarana,940,5031,67,3,day0
11-02-2024,02,100,MitraComm Ekasarana,941,2001,67,94,day0
11-02-2024,02,107,SPRINT_Strata Prima Internusa,111,4012,67,249,day0
11-02-2024,02,107,SPRINT_Strata Prima Internusa,938,2001,66,235,day0
11-02-2024,02,107,SPRINT_Strata Prima Internusa,940,4012,66,243,day0
11-02-2024,02,107,SPRINT_Strata Prima Internusa,941,2001,67,247,day0
11-02-2024,02,110,Jatis Mobile,938,2001,66,2,day0
11-02-2024,02,110,Jatis Mobile,941,2001,67,2,day0
11-02-2024,02,134,Artajasa,111,4012,67,1,day0
11-02-2024,02,134,Artajasa,938,2001,66,3,day0
11-02-2024,02,134,Artajasa,940,4012,66,1,day0
11-02-2024,02,134,Artajasa,941,2001,67,2,day0
